BAIRRO;RPA;MICROREGIAO;DIST_MARCO_ZERO;HECTARES;HABITANTES;NUM_HOMENS;POR_HOMENS;NUM_MULHERES;POR_MULHERES;0_4ANOS;0_4ANOS%;5_14ANOS;5_14ANOS%;15_17ANOS;15_17ANOS%;18_24ANOS;18_24ANOS%;25_59ANOS;25_59ANOS%;60_ANOS;60_ANOS%;BRANCA;PRETA;PARDA;AMARELA;INDIGENA;ALFABETIZADOS;CRESCIMENTO_ANUAL;DENSIDADE;DOMICILIOS;MEDIA_MORADORES;MULHERES_RESPONSAVEIS;RENDA
DOIS IRMAOS;3;3.1;10.4;585.0;2566;1251;48.75;1315;51.25;177;6.9;427;16.64;151;5.88;372;14.5;1241;48.36;198;7.72;35.39;7.91;55.53;1.09;0.08;93.0;-1.7;4.39;737;3.5;44.1;1936.1
ESPINHEIRO;3;3.1;3.09;73.0;10438;4465;42.78;5973;57.22;469;4.49;892;8.55;327;3.13;1285;12.31;5415;51.88;2050;19.64;70.56;3.43;25.03;0.8;0.18;98.0;1.6;142.56;3602;2.9;49.28;7299.96
GRACAS;3;3.1;3.71;144.0;20538;8842;43.05;11696;56.95;794;3.87;1904;9.27;838;4.08;2608;12.7;10648;51.85;3746;18.23;76.68;2.4;19.85;0.96;0.1;99.0;1.6;143.08;7015;2.9;49.18;9484.01
GUABIRABA;3;3.3;13.43;4617.0;6330;3116;49.23;3214;50.77;480;7.58;1188;18.77;333;5.26;873;13.79;2989;47.22;467;7.38;31.71;11.55;55.12;1.18;0.44;85.0;-1.44;1.37;1779;3.5;42.34;1159.26
JAQUEIRA;3;3.1;4.69;24.0;1591;705;44.31;886;55.69;66;4.15;161;10.12;60;3.77;164;10.31;812;51.04;328;20.61;68.82;3.9;26.65;0.5;0.13;98.0;2.96;66.31;529;3.0;42.34;11339.79
MACAXEIRA;3;3.3;8.76;125.0;20313;9725;47.88;10588;52.12;1426;7.02;3354;16.51;1166;5.74;2842;13.99;9933;48.9;1592;7.84;32.28;9.27;56.39;1.69;0.38;91.0;0.52;162.25;5807;3.5;45.27;1387.01
MANGABEIRA;3;3.2;5.61;29.0;6950;3169;45.6;3781;54.4;426;6.13;1052;15.14;378;5.29;847;12.19;3441;49.51;816;11.74;28.99;12.59;57.27;0.99;0.16;91.0;-0.52;240.43;2116;3.3;52.5;1317.08
MONTEIRO;3;3.1;7.59;53.0;5917;2713;45.85;3204;54.15;367;6.2;805;13.6;264;4.46;697;11.78;3080;52.06;704;11.9;53.9;6.2;38.8;0.98;0.12;96.0;2.24;111.61;1742;3.4;42.02;7106.75
MORRO DA CONCEICAO;3;3.2;6.76;38.0;10182;4723;46.39;5459;53.61;634;6.23;1595;15.66;520;5.11;1246;12.24;5046;49.56;1141;11.2;30.45;10.48;57.73;1.01;0.33;91.0;0.04;265.24;2955;3.4;50.19;1127.11
NOVA DESCOBERTA;3;3.3;8.49;180.0;34212;16245;47.48;17967;52.52;2425;7.09;5773;16.87;2027;5.92;4516;13.2;16375;47.87;3096;9.05;30.72;9.53;58.64;1.01;0.1;88.0;-0.13;189.91;9958;3.4;53.25;898.39
PARNAMIRIM;3;3.1;5.48;61.0;7636;3408;44.63;4228;55.37;382;5.0;852;11.16;343;4.49;930;12.18;3883;50.85;1246;16.32;74.23;1.93;23.31;0.35;0.18;97.0;2.24;124.3;2458;3.1;43.47;10712.06
PASSARINHO;3;3.3;10.97;40.0;20305;9954;49.02;10371;50.98;1733;8.53;3940;19.4;1242;6.12;2731;13.45;9354;46.07;1305;6.43;25.24;7.75;66.65;0.32;0.04;87.0;2.79;4998.0;5792;3.5;41.31;824.02
PAU FERRO;3;3.3;15.38;44.0;72;34;47.22;38;52.78;4;5.56;10;13.59;4;5.56;4;5.56;41;56.93;9;12.5;66.67;4.17;27.77;1.39;0.0;96.0;-14.28;1.65;16;4.5;31.25;7735.06
POCO;3;3.1;6.56;81.0;4615;2097;45.44;2518;54.56;240;5.2;528;11.44;164;3.55;487;10.55;2477;53.67;719;15.59;69.25;2.8;27.71;0.15;0.09;97.0;1.43;56.74;1463;3.2;34.97;9346.35
SANTANA;3;3.1;5.55;47.0;3054;1376;45.06;1678;54.94;176;5.44;331;10.84;101;3.31;325;10.67;1605;52.55;525;17.19;66.4;4.91;28.2;0.39;0.1;97.0;2.28;64.65;978;3.1;38.96;9040.76
