Código;Posto;Mês/Ano;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Acumulado
30;Recife (Várzea);jan/2017;8.0;0.0;0.0;0.0;2.0;0.0;38.0;2.0;25.0;20.0;0.0;17.0;0.0;10.0;26.0;0.0;0.0;0.0;0.0;10.0;0.0;6.0;12.0;0.0;0.0;0.0;80.0;0.0;0.0;15.0;16.0;136579
480;Recife - PCD;jan/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);fev/2017;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;6.0;0.0;0.0;0.0;87.0;0.0;135.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;115113
196;Recife (Codecipe / Santo Amaro);fev/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);fev/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);fev/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);fev/2017;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;2.0;0.0;0.0;2.0;0.0;0.0;52.0;6.0;6.0;46.0;36.0;6.0;23.0;0.0;10.0;0.0;0.0;;;;136579
480;Recife - PCD;fev/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);mar/2017;0.0;35.0;0.0;38.0;423.0;43.0;0.0;0.0;0.0;32.0;0.0;67.0;89.0;235.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;7.0;15.0;5.0;0.0;17.0;0.0;0.0;0.0;34.0;167.0;115113
196;Recife (Codecipe / Santo Amaro);mar/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31096
344;Recife (Lamepe/Itep);mar/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);mar/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);mar/2017;124.0;110.0;0.0;376.0;124.0;14.0;0.0;10.0;82.0;76.0;12.0;266.0;66.0;6.0;0.0;0.0;8.0;0.0;40.0;0.0;0.0;0.0;4.0;22.0;0.0;0.0;0.0;0.0;0.0;6.0;46.0;136579
480;Recife - PCD;mar/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
265;Recife (Alto da Brasileira);abr/2017;0.0;0.0;232.0;0.0;25.0;0.0;39.0;0.0;24.0;32.0;114.0;0.0;556.0;213.0;67.0;0.0;504.0;0.0;19.0;0.0;0.0;0.0;91.0;0.0;87.0;0.0;0.0;12.0;9.0;196.0;;115113
196;Recife (Codecipe / Santo Amaro);abr/2017;0.0;0.0;0.0;0.0;190.0;0.0;0.0;0.0;0.0;220.0;233.0;373.0;;120.0;43.0;0.0;450.0;0.0;2.0;17.0;0.0;0.0;160.0;0.0;0.0;0.0;0.0;0.0;9.0;350.0;;31096
344;Recife (Lamepe/Itep);abr/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16116
378;Recife (Santo Amaro);abr/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19988
30;Recife (Várzea);abr/2017;0.0;241.0;392.0;4.0;50.0;69.0;112.0;0.0;2.0;48.0;52.0;114.0;616.0;114.0;122.0;0.0;414.0;0.0;12.0;0.0;0.0;0.0;288.0;12.0;0.0;0.0;0.0;26.0;2.0;227.0;;136579
480;Recife - PCD;abr/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14188
