;date;description;link;name;raw_description;type;type_code
144;21/04/2017;Joaquim José da Silva Xavier, o Tiradentes foi um dentista, tropeiro, minerador, comerciante, militar e ativista político. É reconhecido como mártir da Inconfidência Mineira e herói nacional. O dia de sua execução, 21 de abril, é feriado nacional.;http://www.calendario.com.br/feriados-nacionais/dia-de-tiradentes.php;Dia de Tiradentes;;Feriado Nacional;1
145;01/05/2017;O Dia do Trabalhador ou Dia Internacional dos Trabalhadores é celebrado anualmente no dia 1º de Maio em numerosos países do mundo, sendo feriado no Brasil, em Portugal e em outros países.;http://www.calendario.com.br/feriados-nacionais/dia-do-trabalho.php;Dia do Trabalho;;Feriado Nacional;1
146;14/05/2017;O Dia das Mães teve a sua origem no princípio do século XX, quando uma jovem norte-americana, Anna Jarvis, perdeu sua mãe e entrou em completa depressão. Preocupadas com aquele sofrimento, algumas amigas tiveram a ideia de criar uma data para comemorar o dia das mães.;;Dia das Mães;;Dia Convencional;9
147;12/06/2017;O Dia dos Namorados ou Dia de São Valentim é uma data comemorativa na qual se celebra a união amorosa entre casais sendo comum a troca de cartões e presentes.;;Dia dos Namorados;;Dia Convencional;9
148;15/06/2017;Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.;http://www.calendario.com.br/feriados-nacionais/corpus-christi.php;Corpus Christi;;Facultativo;4
149;24/06/2017;O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.;;Dia de São João;O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.;Feriado Estadual;2
150;16/07/2017;conforme a Lei nº 9.777 de junho de 1967;http://leismunicipa.is/ochsi;Dia de Nossa Senhora do Carmo (Padroeira do Recife);conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
151;13/08/2017;Em 1909, nos Estados Unidos, Sonora Luise resolveu criar um dia dedicado aos pais, motivada pela admiração que sentia pelo seu pai, William Jackson Smart. O interesse pela data difundiu-se da cidade de Spokane para todo o Estado de Washington e para o Mundo.;;Dia dos Pais;;Dia Convencional;9
152;07/09/2017;"O Dia da Indepência do Brasil, oficialmente a data comemorada é a de 7 de setembro de 1822, em que ocorreu o chamado ""Grito do Ipiranga"".";http://www.calendario.com.br/feriados-nacionais/independencia-do-brasil.php;Independência do Brasil;;Feriado Nacional;1
153;12/10/2017;Nossa Senhora da Conceição Aparecida é a padroeira do Brasil. Sua festa é celebrada em 12 de outubro, um feriado nacional desde que o Papa João Paulo II consagrou a Basílica em 1980.;http://www.calendario.com.br/feriados-nacionais/nossa-senhora-aparecida.php;Nossa Senhora Aparecida;;Feriado Nacional;1
154;15/10/2017;"FERIADO ESCOLAR - No dia 15 de outubro de 1827 (dia consagrado à educadora Santa Teresa de Ávila), o Imperador do Brasil, Pedro I,  baixou um Decreto Imperial que criou o Ensino Elementar no Brasil. Pelo decreto, ""todas as cidades, vilas e lugarejos teriam suas escolas de primeiras letras""";http://www.calendario.com.br/docs/dia-do-professor.html;Dia do Professor;;Facultativo;4
155;17/10/2017;Comemoração do dia do comércio. Em algumas cidades do Brasil o comércio poderá fechar, dependendo de acordos entre os sindicatos e patrões.;;Dia do Comércio;;Dia Convencional;9
156;28/10/2017;O dia do servidor público é feriado apenas para funcionários públicos.;;Dia do Servidor Público;;Facultativo;4
157;02/11/2017;O Dia de Finados ou Dia dos Fiéis Defuntos, (conhecido ainda como Dia dos Mortos no México), é celebrado pela Igreja Católica no dia 2 de novembro e é Feriado Nacional.;http://www.calendario.com.br/feriados-nacionais/dia-de-finados.php;Dia de Finados;;Feriado Nacional;1
158;15/11/2017;A Proclamação da República foi um levante político-militar ocorrido em 15 de novembro de 1889 que instaurou a forma Republicana Federativa Presidencialista de governo no Brasil, derrubando a Monarquia e, por conseguinte, o imperador dom Pedro II.;http://www.calendario.com.br/feriados-nacionais/proclamacao-da-republica.php;Proclamação da República;;Feriado Nacional;1
159;20/11/2017;Apesar de ser comemorado em todo o território nacional, conforme indica a Lei Federal nº 12.519, de 10 de novembro de 2011, o Dia Nacional de Zumbi e da Consciência Negra não é feriado. No entanto, alguns municípios decretam feriado municipal neste dia.;http://www.calendario.com.br/feriados-nacionais/consciencia-negra.php;Consciência Negra;;Dia Convencional;9
160;08/12/2017;conforme a Lei nº 9.777 de junho de 1967;http://www.calendario.com.br/docs/pe/recife/l9777.html;Dia de Nossa Senhora da Conceição;conforme a Lei nº 9.777 de junho de 1967;Feriado Municipal;3
161;25/12/2017;O Natal é comemorado anualmente em 25 de Dezembro. Originalmente destinado a celebrar o nascimento anual do Deus Sol no solstício de inverno, foi adaptado pela Igreja Católica no 3o século d.C., para permitir a conversão dos povos pagãos sob o domínio do Império Romano, passando a comemorar o nascimento de Jesus de Nazaré.;http://www.calendario.com.br/feriados-nacionais/natal.php;Natal;;Feriado Nacional;1
162;01/01/2018;O Ano-Novo ou Réveillon é um evento que acontece quando uma cultura celebra o fim de um ano e o começo do próximo. A celebração do evento é também chamada Réveillon, termo oriundo do verbo francês réveiller, que em português significa DESPERTAR;http://www.calendario.com.br/feriados-nacionais/ano-novo.php;Ano Novo;;Feriado Nacional;1
163;12/02/2018;Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
164;13/02/2018;Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
165;14/02/2018;Ponto Facultativo até às 14h.;http://www.calendario.com.br/feriados-nacionais/carnaval.php;Carnaval;;Facultativo;4
