,BAIRRO,GRUPOSERVICO_DESCRICAO,VALUE
243,BARRO,DRENAGEM,6.354370040797351
244,BARRO,ESCADARIA,2.3978952727983707
245,BARRO,ESTUDO ASFALTO,0.0
246,BARRO,FISCALIZACAO URBANA,4.51085950651685
247,BARRO,ILUMINACAO PROVISORIA,4.74493212836325
248,BARRO,ILUMINACAO PUBLICA,7.940227765145702
249,BARRO,ILUMINACAO RELUZ,6.246106765481563
250,BARRO,LIMPEZA URBANA,7.271008538280992
251,BARRO,LUMINARIAS,5.438079308923196
252,BARRO,MACRODRENAGEM,4.07753744390572
253,BARRO,MANUT. URBANA,2.70805020110221
254,BARRO,PAVIMENTACAO,6.661854740545311
255,BARRO,PLANEJAMENTO DE LIMPEZA URBANA,3.8501476017100584
256,BARRO,POSTE,4.2626798770413155
257,BARRO,PRACAS,3.367295829986474
258,BARRO,PROJETOS,1.791759469228055
259,BARRO,SEMENTEIRA,1.791759469228055
260,BARRO,TABLADOS,3.044522437723423
261,BARRO,TERRAPLENAGEM,3.784189633918261
262,BARRO,VAO DE REDE,3.58351893845611
263,BEBERIBE,ARBORIZACAO,4.110873864173311
264,BEBERIBE,CALCADAS ARVORES,1.0986122886681098
265,BEBERIBE,COLETA SELETIVA,1.0986122886681098
266,BEBERIBE,COLETA URBANA,4.727387818712341
267,BEBERIBE,CONSERVACAO,6.073044534100405
268,BEBERIBE,DENUNCIAS,2.4849066497880004
269,BEBERIBE,DRENAGEM,5.5134287461649825
270,BEBERIBE,ESCADARIA,3.6888794541139363
271,BEBERIBE,FISCALIZACAO URBANA,4.219507705176107
272,BEBERIBE,ILUMINACAO PROVISORIA,4.709530201312334
273,BEBERIBE,ILUMINACAO PUBLICA,6.7580945044277305
274,BEBERIBE,ILUMINACAO RELUZ,5.093750200806762
275,BEBERIBE,LIMPEZA URBANA,6.787844982309579
276,BEBERIBE,LUMINARIAS,3.871201010907891
277,BEBERIBE,MACRODRENAGEM,3.332204510175204
278,BEBERIBE,MANUT. URBANA,3.1780538303479458
279,BEBERIBE,PAVIMENTACAO,6.0473721790462776
280,BEBERIBE,PLANEJAMENTO DE LIMPEZA URBANA,3.367295829986474
281,BEBERIBE,POSTE,1.9459101490553132
282,BEBERIBE,PRACAS,3.1780538303479458
283,BEBERIBE,SEMENTEIRA,0.0
284,BEBERIBE,TABLADOS,3.258096538021482
285,BEBERIBE,TERRAPLENAGEM,2.302585092994046
286,BEBERIBE,VAO DE REDE,1.3862943611198906
287,BOA VIAGEM,ARBORIZACAO,8.301025253838453
288,BOA VIAGEM,ATENDIMENTO EMPREL,0.6931471805599453
289,BOA VIAGEM,CALCADAS ARVORES,4.382026634673881
290,BOA VIAGEM,COLETA SELETIVA,5.342334251964811
291,BOA VIAGEM,COLETA URBANA,5.752572638825633
292,BOA VIAGEM,CONSERVACAO,8.637462023807181
293,BOA VIAGEM,DENUNCIAS,4.394449154672439
294,BOA VIAGEM,DRENAGEM,8.227108234348146
295,BOA VIAGEM,ESCADARIA,1.0986122886681098
296,BOA VIAGEM,FISCALIZACAO URBANA,6.318968113746434
297,BOA VIAGEM,ILUMINACAO PROVISORIA,5.877735781779639
298,BOA VIAGEM,ILUMINACAO PUBLICA,9.380420642347783
299,BOA VIAGEM,ILUMINACAO RELUZ,7.493317248862145
300,BOA VIAGEM,LIMPEZA URBANA,7.748028524432376
301,BOA VIAGEM,LUMINARIAS,6.198478716492308
302,BOA VIAGEM,MACRODRENAGEM,4.3694478524670215
303,BOA VIAGEM,MANUT. URBANA,3.713572066704308
304,BOA VIAGEM,NECROPOLES,0.0
305,BOA VIAGEM,PAVIMENTACAO,8.21716859576607
306,BOA VIAGEM,PLANEJAMENTO DE LIMPEZA URBANA,4.634728988229636
307,BOA VIAGEM,POSTE,4.718498871295094
308,BOA VIAGEM,PRACAS,4.110873864173311
309,BOA VIAGEM,PROJETOS,2.3978952727983707
310,BOA VIAGEM,SEMENTEIRA,5.198497031265826
311,BOA VIAGEM,TABLADOS,3.258096538021482
312,BOA VIAGEM,TERRAPLENAGEM,3.367295829986474
313,BOA VIAGEM,VAO DE REDE,5.393627546352362
314,BOA VISTA,ARBORIZACAO,7.030857476116121
315,BOA VISTA,CALCADAS ARVORES,2.772588722239781
316,BOA VISTA,COLETA SELETIVA,3.367295829986474
317,BOA VISTA,COLETA URBANA,4.553876891600541
318,BOA VISTA,CONSERVACAO,7.342131730584722
319,BOA VISTA,DENUNCIAS,3.367295829986474
320,BOA VISTA,DRENAGEM,7.318539548567902
321,BOA VISTA,FISCALIZACAO URBANA,5.945420608606575
322,BOA VISTA,ILUMINACAO PROVISORIA,5.159055299214529
323,BOA VISTA,ILUMINACAO PUBLICA,8.375629627094451
324,BOA VISTA,ILUMINACAO RELUZ,5.771441123130016
325,BOA VISTA,LIMPEZA URBANA,6.569481420414296
326,BOA VISTA,LUMINARIAS,4.9344739331306915
327,BOA VISTA,MACRODRENAGEM,0.6931471805599453
328,BOA VISTA,MANUT. URBANA,3.295836866004329
329,BOA VISTA,NECROPOLES,0.0
330,BOA VISTA,PAVIMENTACAO,7.094234845924755
331,BOA VISTA,PLANEJAMENTO DE LIMPEZA URBANA,3.7612001156935624
332,BOA VISTA,POSTE,2.9444389791664403
333,BOA VISTA,PRACAS,3.332204510175204
334,BOA VISTA,PROJETOS,2.3978952727983707
335,BOA VISTA,SEMENTEIRA,3.4011973816621555
336,BOA VISTA,TABLADOS,3.258096538021482
337,BOA VISTA,VAO DE REDE,3.9512437185814275
338,BOMBA DO HEMETERIO,ARBORIZACAO,4.59511985013459
339,BOMBA DO HEMETERIO,CALCADAS ARVORES,1.0986122886681098
340,BOMBA DO HEMETERIO,COLETA URBANA,4.875197323201151
341,BOMBA DO HEMETERIO,CONSERVACAO,6.144185634125646
342,BOMBA DO HEMETERIO,DENUNCIAS,2.70805020110221
343,BOMBA DO HEMETERIO,DRENAGEM,5.602118820879701
344,BOMBA DO HEMETERIO,ESCADARIA,3.258096538021482
345,BOMBA DO HEMETERIO,FISCALIZACAO URBANA,3.9512437185814275
346,BOMBA DO HEMETERIO,ILUMINACAO PROVISORIA,5.209486152841421
347,BOMBA DO HEMETERIO,ILUMINACAO PUBLICA,6.694562058521095
348,BOMBA DO HEMETERIO,ILUMINACAO RELUZ,4.762173934797756
349,BOMBA DO HEMETERIO,LIMPEZA URBANA,6.452048954437226
350,BOMBA DO HEMETERIO,LUMINARIAS,3.784189633918261
351,BOMBA DO HEMETERIO,MACRODRENAGEM,3.9318256327243257
352,BOMBA DO HEMETERIO,MANUT. URBANA,2.0794415416798357
353,BOMBA DO HEMETERIO,PAVIMENTACAO,5.69035945432406
